dataset,method,mode,repetition,accuracy,balacc
Crop,SVM,fine-tune,1,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,1,0.5096428571428572,0.5096428571428572
Crop,SVM,fine-tune,2,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,2,0.5530952380952381,0.5530952380952381
Crop,SVM,fine-tune,3,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,3,0.5419047619047619,0.5419047619047619
Crop,SVM,fine-tune,4,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,4,0.55,0.5499999999999999
Crop,SVM,fine-tune,5,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,5,0.5557738095238095,0.5557738095238095
Crop,SVM,fine-tune,6,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,6,0.545952380952381,0.545952380952381
Crop,SVM,fine-tune,7,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,7,0.5583928571428571,0.5583928571428571
Crop,SVM,fine-tune,8,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,8,0.5645238095238095,0.5645238095238095
Crop,SVM,fine-tune,9,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,9,0.5644047619047619,0.564404761904762
Crop,SVM,fine-tune,10,0.529702380952381,0.529702380952381
Crop,NN,fine-tune,10,0.5720833333333334,0.5720833333333334
Crop,SVM,pretrained-small,1,0.6717261904761904,0.6717261904761905
Crop,SVM,pretrained-small,2,0.6717261904761904,0.6717261904761905
Crop,SVM,pretrained-small,3,0.6717261904761904,0.6717261904761905
Crop,SVM,pretrained-small,4,0.6717261904761904,0.6717261904761905
Crop,SVM,pretrained-small,5,0.6717261904761904,0.6717261904761905
Crop,SVM,pretrained-small,6,0.6717261904761904,0.6717261904761905
Crop,SVM,pretrained-small,7,0.6717261904761904,0.6717261904761905
Crop,SVM,pretrained-small,8,0.6717261904761904,0.6717261904761905
Crop,SVM,pretrained-small,9,0.6717261904761904,0.6717261904761905
Crop,SVM,pretrained-small,10,0.6717261904761904,0.6717261904761905
RefrigerationDevices,SVM,fine-tune,1,0.4773333333333333,0.4773333333333333
RefrigerationDevices,NN,fine-tune,1,0.5546666666666666,0.5546666666666668
RefrigerationDevices,SVM,fine-tune,2,0.4773333333333333,0.4773333333333333
