dataset,method,mode,repetition,accuracy
UWaveGestureLibraryAll,SVM,fine-tune,1,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,1,0.6917922948073701
UWaveGestureLibraryAll,SVM,fine-tune,2,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,2,0.696538246789503
UWaveGestureLibraryAll,SVM,fine-tune,3,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,3,0.6948632049134562
UWaveGestureLibraryAll,SVM,fine-tune,4,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,4,0.6937465103294249
UWaveGestureLibraryAll,SVM,fine-tune,5,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,5,0.6945840312674484
UWaveGestureLibraryAll,SVM,fine-tune,6,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,6,0.6926298157453936
UWaveGestureLibraryAll,SVM,fine-tune,7,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,7,0.6898380792853155
UWaveGestureLibraryAll,SVM,fine-tune,8,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,8,0.6901172529313233
UWaveGestureLibraryAll,SVM,fine-tune,9,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,9,0.6895589056393077
UWaveGestureLibraryAll,SVM,fine-tune,10,0.5150753768844221
UWaveGestureLibraryAll,NN,fine-tune,10,0.6954215522054717
UWaveGestureLibraryAll,SVM,pretrained-small,1,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,1,0.5971524288107203
UWaveGestureLibraryAll,SVM,pretrained-small,2,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,2,0.5963149078726968
UWaveGestureLibraryAll,SVM,pretrained-small,3,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,3,0.5977107761027359
UWaveGestureLibraryAll,SVM,pretrained-small,4,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,4,0.596035734226689
UWaveGestureLibraryAll,SVM,pretrained-small,5,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,5,0.5938023450586265
UWaveGestureLibraryAll,SVM,pretrained-small,6,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,6,0.5938023450586265
UWaveGestureLibraryAll,SVM,pretrained-small,7,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,7,0.5943606923506422
UWaveGestureLibraryAll,SVM,pretrained-small,8,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,8,0.5940815187046343
UWaveGestureLibraryAll,SVM,pretrained-small,9,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,9,0.5940815187046343
UWaveGestureLibraryAll,SVM,pretrained-small,10,0.4818537130094919
UWaveGestureLibraryAll,NN,pretrained-small,10,0.592964824120603
DiatomSizeReduction,SVM,fine-tune,1,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,1,0.9084967320261438
DiatomSizeReduction,SVM,fine-tune,2,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,2,0.9150326797385621
DiatomSizeReduction,SVM,fine-tune,3,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,3,0.8006535947712419
DiatomSizeReduction,SVM,fine-tune,4,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,4,0.8986928104575164
DiatomSizeReduction,SVM,fine-tune,5,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,5,0.8986928104575164
DiatomSizeReduction,SVM,fine-tune,6,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,6,0.9019607843137255
DiatomSizeReduction,SVM,fine-tune,7,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,7,0.9019607843137255
DiatomSizeReduction,SVM,fine-tune,8,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,8,0.9019607843137255
DiatomSizeReduction,SVM,fine-tune,9,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,9,0.9019607843137255
DiatomSizeReduction,SVM,fine-tune,10,0.8529411764705882
DiatomSizeReduction,NN,fine-tune,10,0.9019607843137255
DiatomSizeReduction,SVM,pretrained-small,1,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,1,0.7843137254901961
DiatomSizeReduction,SVM,pretrained-small,2,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,2,0.7810457516339869
DiatomSizeReduction,SVM,pretrained-small,3,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,3,0.8137254901960784
DiatomSizeReduction,SVM,pretrained-small,4,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,4,0.8104575163398693
DiatomSizeReduction,SVM,pretrained-small,5,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,5,0.8398692810457516
DiatomSizeReduction,SVM,pretrained-small,6,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,6,0.8202614379084967
DiatomSizeReduction,SVM,pretrained-small,7,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,7,0.8137254901960784
DiatomSizeReduction,SVM,pretrained-small,8,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,8,0.803921568627451
DiatomSizeReduction,SVM,pretrained-small,9,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,9,0.7973856209150327
DiatomSizeReduction,SVM,pretrained-small,10,0.5980392156862745
DiatomSizeReduction,NN,pretrained-small,10,0.7941176470588235
MedicalImages,SVM,fine-tune,1,0.5421052631578948
MedicalImages,NN,fine-tune,1,0.5447368421052632
MedicalImages,SVM,fine-tune,2,0.5421052631578948
MedicalImages,NN,fine-tune,2,0.5407894736842105
MedicalImages,SVM,fine-tune,3,0.5421052631578948
MedicalImages,NN,fine-tune,3,0.5381578947368421
MedicalImages,SVM,fine-tune,4,0.5421052631578948
MedicalImages,NN,fine-tune,4,0.5302631578947369
MedicalImages,SVM,fine-tune,5,0.5421052631578948
MedicalImages,NN,fine-tune,5,0.5394736842105263
MedicalImages,SVM,fine-tune,6,0.5421052631578948
MedicalImages,NN,fine-tune,6,0.5381578947368421
MedicalImages,SVM,fine-tune,7,0.5421052631578948
MedicalImages,NN,fine-tune,7,0.5276315789473685
MedicalImages,SVM,fine-tune,8,0.5421052631578948
MedicalImages,NN,fine-tune,8,0.5302631578947369
MedicalImages,SVM,fine-tune,9,0.5421052631578948
MedicalImages,NN,fine-tune,9,0.5223684210526316
